firm_id,innovation_score,ai_intensity,prior_innovation,rd_intensity,digital_capability,ln_employment,firm_age,export_share,industry
773,34.5,2.97,30.71,6.36,4.28,4.28,7.03,0.13,2
774,32.98,3.16,37.25,2.33,4.57,4.94,9.65,0.07,5
775,29.43,1.21,29.86,2.41,1.44,4.01,10.41,0.15,2
776,46.86,3.89,41.63,5.21,5.07,5.12,7.95,0.12,5
777,42.1,1.18,39.25,3.48,5.14,4.55,17.37,0.16,4
778,51.78,4.52,49.28,8.41,4.69,5.68,23.43,0.18,3
779,41.66,3.72,44.85,5.55,4.82,5.29,13.97,0.0,3
780,56.43,6.22,51.45,8.03,5.94,5.95,5.18,0.3,4
781,50.54,3.99,36.65,5.87,4.54,4.85,7.59,0.14,3
782,46.14,1.6,38.2,3.47,6.28,3.77,19.96,0.14,3
783,57.51,6.25,43.57,6.53,5.77,5.58,13.89,0.32,5
784,47.62,2.09,34.58,4.78,4.62,5.23,23.28,0.03,3
785,41.17,2.64,30.32,5.56,4.2,4.99,15.76,0.29,5
786,49.45,3.74,47.87,4.97,4.71,5.08,9.45,0.02,4
787,53.58,3.11,40.75,7.67,6.43,6.08,5.8,0.08,6
788,47.37,2.46,39.89,4.35,5.25,4.31,10.1,0.04,5
789,51.45,5.22,39.12,5.11,5.99,5.87,15.08,0.4,4
790,30.01,1.68,37.78,4.37,6.36,5.13,18.97,0.04,4
791,40.57,3.15,39.71,6.56,4.4,4.85,14.5,0.11,1
792,77.0,7.94,56.91,9.69,6.79,6.56,15.37,0.2,4
793,41.76,4.0,40.23,5.3,5.89,6.29,20.73,0.27,3
794,30.72,2.42,34.3,3.96,4.63,4.87,20.63,0.02,2
795,38.25,4.22,39.21,5.9,5.18,5.19,15.24,0.09,1
796,44.23,2.3,37.77,5.55,5.88,4.68,18.1,0.01,6
797,60.66,6.98,48.25,6.8,4.87,6.06,9.0,0.34,3
798,33.37,4.61,27.29,2.55,5.44,4.66,3.58,0.25,2
799,28.52,2.6,28.56,5.47,4.12,4.19,14.16,0.0,3
800,47.18,2.04,39.03,6.57,4.28,4.97,15.95,0.24,5
